17815,MEAN,11
29034,MEAN,74
29042,MEAN,52
29045,MEAN,37
29047,MEAN,48
29050,MEAN,77
29053,MEAN,37
30713,MEAN,53
31578,MEAN,24
31579,MEAN,16
31582,MEAN,14
32172,MEAN,45
32174,MEAN,30
34114,MEAN,43
34116,MEAN,39
34516,MEAN,12
37407,MEAN,22
48153,MEAN,53
57000,MEAN,24
57003,MEAN,58
57006,MEAN,68
57816,MEAN,62
58836,MEAN,49
59638,MEAN,34
59661,MEAN,70
59836,MEAN,35
59901,MEAN,8
60660,MEAN,21
61000,MEAN,85
61039,MEAN,5
64502,MEAN,26
64540,MEAN,13
65041,MEAN,77
65043,MEAN,29
65045,MEAN,8
65514,MEAN,71
65515,MEAN,65
65527,MEAN,8
65542,MEAN,47
65674,MEAN,44
65676,MEAN,80
79000,MEAN,82
83852,MEAN,7
83857,MEAN,29
83858,MEAN,65
96124,MEAN,55
101376,MEAN,70
101395,MEAN,23
102323,MEAN,76
111061,MEAN,52
111183,MEAN,34
113260,MEAN,14
113263,MEAN,83
113771,MEAN,58
115849,MEAN,81
116601,MEAN,64
116603,MEAN,24
122063,MEAN,60
122084,MEAN,57
125315,MEAN,17
125317,MEAN,37
125322,MEAN,15
126208,MEAN,61
126230,MEAN,18
126240,MEAN,19
128823,MEAN,31
128825,MEAN,81
128828,MEAN,36
128832,MEAN,21
130047,MEAN,5
130212,MEAN,47
134457,MEAN,46
134459,MEAN,26
134467,MEAN,47
137251,MEAN,35
137370,MEAN,85
139995,MEAN,66
140320,MEAN,29
149375,MEAN,84
149384,MEAN,85
149437,MEAN,46
149450,MEAN,40
151601,MEAN,69
152640,MEAN,13
152643,MEAN,67
153424,MEAN,65
153535,MEAN,77
153842,MEAN,75
154095,MEAN,31
154103,MEAN,5
154110,MEAN,82
154111,MEAN,70
154113,MEAN,19
154433,MEAN,68
155630,MEAN,70
161807,MEAN,19
161814,MEAN,21
165057,MEAN,34
165058,MEAN,51
165418,MEAN,63
165437,MEAN,34
166129,MEAN,14
184375,MEAN,82
184484,MEAN,81
185312,MEAN,73
194218,MEAN,26
194256,MEAN,79
194434,MEAN,28
194710,MEAN,80
194733,MEAN,5
194858,MEAN,33
194902,MEAN,72
198281,MEAN,44
200974,MEAN,64
201020,MEAN,59
212466,MEAN,38
212555,MEAN,15
222984,MEAN,28
240084,MEAN,47
240108,MEAN,76
240109,MEAN,59
269993,MEAN,76
270000,MEAN,35
270008,MEAN,69
270027,MEAN,35
270037,MEAN,62
270049,MEAN,15
270060,MEAN,8
270093,MEAN,43
270670,MEAN,33
270671,MEAN,5
270676,MEAN,15
270679,MEAN,58
270680,MEAN,30
270720,MEAN,38
270721,MEAN,23
270723,MEAN,34
280687,MEAN,14
293436,MEAN,33
293465,MEAN,35
293467,MEAN,23
305350,MEAN,80
305354,MEAN,81
305359,MEAN,12
317323,MEAN,83
317329,MEAN,33
317344,MEAN,42
317475,MEAN,31
320489,MEAN,12
320493,MEAN,50
324567,MEAN,39
333432,MEAN,15
341454,MEAN,6
343278,MEAN,9
343287,MEAN,21
368437,MEAN,54
375530,MEAN,16
387830,MEAN,32
387833,MEAN,5
387834,MEAN,72
394324,MEAN,25
394326,MEAN,34
395837,MEAN,26
400508,MEAN,61
400510,MEAN,60
400670,MEAN,68
400741,MEAN,48
404462,MEAN,53
404467,MEAN,48
406418,MEAN,29
406425,MEAN,10
415550,MEAN,66
415557,MEAN,54
419350,MEAN,41
419358,MEAN,12
419360,MEAN,11
419363,MEAN,85
419707,MEAN,39
420030,MEAN,59
420059,MEAN,15
420060,MEAN,66
420062,MEAN,83
420256,MEAN,8
420259,MEAN,45
434504,MEAN,49
434507,MEAN,80
434512,MEAN,56
441384,MEAN,17
441396,MEAN,51
441405,MEAN,47
446197,MEAN,15
449711,MEAN,69
449719,MEAN,15
449720,MEAN,12
450295,MEAN,27
459220,MEAN,67
468670,MEAN,51
468893,MEAN,82
471553,MEAN,76
471557,MEAN,38
476737,MEAN,22
481069,MEAN,48
493270,MEAN,67
497044,MEAN,28
506781,MEAN,71
509245,MEAN,63
509247,MEAN,7
509284,MEAN,7
514552,MEAN,57
514553,MEAN,81
514561,MEAN,7
514564,MEAN,7
514707,MEAN,38
515310,MEAN,66
516034,MEAN,31
516778,MEAN,33
516782,MEAN,65
517506,MEAN,77
517718,MEAN,33
517719,MEAN,25
517724,MEAN,73
517945,MEAN,17
520743,MEAN,84
520812,MEAN,81
